YAL001C	TFC3	Transcription Factor class C	FUN24|tau 138|transcription factor TFIIIC subunit TFC3|TSV115	Verified	inviable
YAL002W	VPS8	Vacuolar Protein Sorting	CORVET complex membrane-binding subunit VPS8|FUN15|VPL8|VPT8	Verified	viable
YAL003W	EFB1	Elongation Factor Beta	eEF1Balpha|EF-1beta|TEF5|translation elongation factor 1 subunit beta	Verified	inviable
YAL005C	SSA1	Stress-Seventy subfamily A	Hsp70 family ATPase SSA1|YG100	Verified	viable
YAL007C	ERP2	Emp24p/Erv25p Related Protein	""	Verified	viable
YAL008W	FUN14	Function Unknown Now	MCP3	Verified	viable
YAL009W	SPO7	SPOrulation	Nem1-Spo7 phosphatase regulatory subunit SPO7	Verified	viable
YAL010C	MDM10	Mitochondrial Distribution and Morphology	FUN37	Verified	viable
YAL011W	SWC3	SWr Complex	SWC1	Verified	viable
YAL012W	CYS3	CYStathionine gamma-lyase	CYI1|cystathionine gamma-lyase CYS3|FUN35|STR1	Verified	viable
YAL012W	CYS3	CYStathionine gamma-lyase	CYI1|cystathionine gamma-lyase CYS3|FUN35|STR1	Verified	viable
YAL013W	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	FUN54|Rpd3L histone deacetylase complex subunit DEP1	Verified	viable
YAL014C	SYN8	SYNtaxin	SLT2|syntaxin|UIP2	Verified	viable
YAL015C	NTG1	eNdonuclease Three-like Glycosylase	bifunctional N-glycosylase/AP lyase NTG1|FUN33|ogg2|SCR1	Verified	viable
YAL016W	TPD3	tRNA Processing Deficient	FUN32|protein phosphatase 2A structural subunit TPD3	Verified	viable
YAL017W	PSK1	Pas domain-containing Serine/threonine protein Kinase	FUN31|serine/threonine protein kinase PSK1	Verified	viable
YAL018C	LDS1	Lipid Droplets in Sporulation	""	Verified	viable
YAL019W	FUN30	Function Unknown Now	DNA-dependent ATPase FUN30	Verified	viable
YAL020C	ATS1	Alpha Tubulin Suppressor	FUN28|KTI13	Verified	viable
YAL021C	CCR4	Carbon Catabolite Repression	CCR4-NOT core exoribonuclease subunit CCR4|FUN27|NUT21	Verified	viable
YAL022C	FUN26	Function Unknown Now	nucleoside transmembrane transporter FUN26	Verified	viable
YAL023C	PMT2	Protein O-MannosylTransferase	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25	Verified	viable
YAL025C	MAK16	MAintenance of Killer	ribosome biosynthesis protein MAK16	Verified	inviable
YAL026C	DRS2	Deficiency of Ribosomal Subunits	aminophospholipid-translocating P4-type ATPase DRS2|FUN38|SWA3	Verified	viable
YAL027W	SAW1	Single-strand Annealing Weakened	DNA-binding protein SAW1	Verified	viable
YAL028W	FRT2	Functionally Related to TCP1	HPH2	Verified	viable
YAL029C	MYO4	MYOsin	FUN22|myosin 4|SHE1	Verified	viable
YAL030W	SNC1	Suppressor of the Null allele of CAP	SNAP receptor SNC1	Verified	viable
YAL031C	GIP4	Glc7 Interacting Protein	FUN21|protein phosphatase regulator GIP4	Verified	viable
YAL032C	PRP45	Pre-mRNA Processing	FUN20|mRNA splicing protein PRP45	Verified	inviable
YAL033W	POP5	Processing Of Precursor RNAs	FUN53|RNA-binding protein POP5	Verified	inviable
YAL034W-A	MTW1	Mis TWelve-like	DSN3|MIND complex subunit MTW1|NSL2	Verified	inviable
YAL035W	FUN12	Function Unknown Now	eIF5B|translation initiation factor eIF5B|yIF2	Verified	viable
YAL036C	RBG1	RiBosome interacting Gtpase	FUN11|GTP-binding protein RBG1	Verified	viable
YAL037W	""	""	""	Uncharacterized	viable
YAL038W	CDC19	Cell Division Cycle	PYK1|pyruvate kinase CDC19	Verified	inviable
YAL039C	CYC3	CYtochrome C	CCHL|holocytochrome c synthase CYC3	Verified	viable
YAL040C	CLN3	CycLiN	cyclin CLN3|DAF1|FUN10|WHI1	Verified	viable
YAL041W	CDC24	Cell Division Cycle	CLS4|Rho family guanine nucleotide exchange factor CDC24	Verified	inviable
YAL042W	ERV46	ER Vesicle	FUN9	Verified	viable
YAL043C	PTA1	Pre-Trna Accumulation	FUN39|RNA-processing protein PTA1	Verified	inviable
YAL044C	GCV3	GlyCine cleaVage	glycine decarboxylase subunit H	Verified	viable
YAL046C	BOL3	BolA-like protein	AIM1	Verified	viable
YAL047C	SPC72	Spindle Pole Component	gamma-tubulin complex subunit SPC72|LDB4	Verified	viable
YAL048C	GEM1	GTPase EF-hand protein of Mitochondria	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1	Verified	viable
YAL049C	AIM2	Altered Inheritance rate of Mitochondria	protein AIM2	Verified	viable
YAL051W	OAF1	Oleate-Activated transcription Factor	oleate-activated transcription factor OAF1|YAF1	Verified	viable
YAL053W	FLC2	FLavin Carrier	flavin adenine dinucleotide transporter FLC2|HUF2	Verified	viable
YAL054C	ACS1	Acetyl CoA Synthetase	acetate--CoA ligase 1|FUN44	Verified	viable
YAL055W	PEX22	PEroXisome related	ubiquitin-protein transferase activating protein PEX22|YAF5	Verified	viable
YAL056W	GPB2	""	KRH1	Verified	viable
YAL058W	CNE1	CalNExin and calreticulin homolog	calnexin|FUN48	Verified	viable
YAL059W	ECM1	ExtraCellular Mutant	""	Verified	viable
YAL060W	BDH1	Butanediol DeHydrogenase	BDH|(R,R)-butanediol dehydrogenase	Verified	viable
YAL061W	BDH2	""	putative dehydrogenase BDH2	Uncharacterized	viable
YAL062W	GDH3	Glutamate DeHydrogenase	FUN51|glutamate dehydrogenase (NADP(+)) GDH3	Verified	viable
YAL067C	SEO1	Suppressor of sulfoxyde EthiOnine resistance	putative permease SEO1	Verified	viable
YAR002W	NUP60	NUclear Pore	FG-nucleoporin NUP60	Verified	viable
YAR003W	SWD1	Set1c, WD40 repeat protein	COMPASS subunit protein SWD1|CPS50|FUN16|SAF49	Verified	viable
YAR007C	RFA1	Replication Factor A	BUF2|FUN3|replication factor A subunit protein RFA1|RPA1|RPA70	Verified	inviable
YAR008W	SEN34	Splicing ENdonuclease	FUN4|tRNA splicing endonuclease subunit SEN34	Verified	inviable
YAR014C	BUD14	BUD site selection	protein phosphatase regulator BUD14	Verified	viable
YAR015W	ADE1	ADEnine requiring	phosphoribosylaminoimidazolesuccinocarboxamide synthase	Verified	viable
YAR018C	KIN3	protein KINase	FUN52|NPK1|serine/threonine protein kinase KIN3	Verified	viable
YAR019C	CDC15	Cell Division Cycle	LYT1|RLT1|serine/threonine protein kinase CDC15	Verified	inviable
YAR020C	PAU7	seriPAUperin family	seripauperin PAU7	Verified	viable
YAR023C	""	""	DUP240 family protein	Uncharacterized	viable
YAR027W	UIP3	Ulp1 Interacting Protein	DUP240 family protein UIP3	Verified	viable
YAR028W	""	""	DUP240 family protein	Uncharacterized	viable
YAR029W	""	""	DUP240 family protein	Uncharacterized	viable
YAR031W	PRM9	Pheromone-Regulated Membrane protein	pheromone-regulated DUP240 family protein PRM9	Verified	viable
YAR035W	YAT1	""	carnitine O-acetyltransferase YAT1	Verified	viable
YAR042W	SWH1	""	OSH1|oxysterol-binding protein related protein SWH1|YAR044W	Verified	viable
YAR050W	FLO1	FLOcculation	FLO2|FLO4|flocculin FLO1	Verified	viable
YBL001C	ECM15	ExtraCellular Mutant	""	Verified	viable
YBL002W	HTB2	Histone h Two B	histone H2B	Verified	viable
YBL003C	HTA2	Histone h Two A	H2A2|histone H2A	Verified	viable
YBL004W	UTP20	U Three Protein	""	Verified	inviable
YBL005W	PDR3	Pleiotropic Drug Resistance	AMY2|drug-responsive transcription factor PDR3|TPE2	Verified	viable
YBL006C	LDB7	Low Dye Binding	RSC14	Verified	viable
YBL007C	SLA1	Synthetic Lethal with ABP1	cytoskeletal protein-binding protein SLA1	Verified	viable
YBL008W	HIR1	HIstone Regulation	""	Verified	viable
YBL009W	ALK2	""	protein kinase ALK2	Verified	viable
YBL010C	LAA2	Large Adaptin Accessory	""	Verified	viable
YBL011W	SCT1	Suppressor of Choline-Transport mutants	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1|GAT2	Verified	viable
YBL013W	FMT1	Formyl-Methionyl-tRNA Transformylase	methionyl-tRNA formyltransferase	Verified	viable
YBL014C	RRN6	Regulation of RNA polymerase I	""	Verified	inviable
YBL015W	ACH1	Acetyl CoA Hydrolase	acetyl-CoA hydrolase	Verified	viable
YBL016W	FUS3	cell FUSion	DAC2|mitogen-activated serine/threonine-protein kinase FUS3	Verified	viable
YBL017C	PEP1	carboxyPEPtidase Y-deficient	type I sorting receptor|VPS10|VPT1	Verified	viable
YBL018C	POP8	Processing Of Precursor RNAs	ribonuclease P	Verified	inviable
YBL019W	APN2	APurinic/apyrimidinic eNdonuclease	DNA-(apurinic or apyrimidinic site) lyase APN2|ETH1	Verified	viable
YBL020W	RFT1	Requiring Fifty-Three	glycolipid translocation protein	Verified	inviable
YBL021C	HAP3	Heme Activator Protein	""	Verified	viable
YBL022C	PIM1	Proteolysis In Mitochondria	ATP-dependent Lon protease PIM1|LON1	Verified	viable
YBL023C	MCM2	MiniChromosome Maintenance	MCM DNA helicase complex subunit MCM2	Verified	inviable
