YAL035W	FUN12	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YBL027W	RPL19B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBL027W	RPL19B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YBL038W	MRPL16	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBL038W	MRPL16	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBL038W	MRPL16	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YBL038W	MRPL16	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YBL072C	RPS8A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBL072C	RPS8A	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YBL087C	RPL23A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBL087C	RPL23A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YBL090W	MRP21	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBL090W	MRP21	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YBL092W	RPL32	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBL092W	RPL32	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YBR031W	RPL4A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR031W	RPL4A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YBR048W	RPS11B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR048W	RPS11B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YBR120C	CBP6	Verified	GO:0005761	mitochondrial ribosome	cellular_component	part of	manually curated
YBR122C	MRPL36	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR122C	MRPL36	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YBR146W	MRPS9	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR146W	MRPS9	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YBR181C	RPS6B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR181C	RPS6B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YBR189W	RPS9B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR189W	RPS9B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YBR191W	RPL21A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR191W	RPL21A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YBR251W	MRPS5	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR251W	MRPS5	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YBR268W	MRPL37	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR268W	MRPL37	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YBR282W	MRPL27	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR282W	MRPL27	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YCR003W	MRPL32	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YCR003W	MRPL32	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YCR031C	RPS14A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YCR031C	RPS14A	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YCR046C	IMG1	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YCR046C	IMG1	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YCR071C	IMG2	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YCR071C	IMG2	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YCR077C	PAT1	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YEL050C	RML2	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
