S000000001	YAL001C	TFC3	Transcription Factor class C	FUN24|tau 138|transcription factor TFIIIC subunit TFC3|TSV115	Subunit of RNA polymerase III transcription initiation factor complex	S. cerevisiae	ORF
S000000002	YAL002W	VPS8	Vacuolar Protein Sorting	CORVET complex membrane-binding subunit VPS8|FUN15|VPL8|VPT8	Membrane-binding component of the CORVET complex	S. cerevisiae	ORF
S000000003	YAL003W	EFB1	Elongation Factor Beta	eEF1Balpha|EF-1beta|TEF5|translation elongation factor 1 subunit beta	Translation elongation factor 1 beta	S. cerevisiae	ORF
S000000004	YAL005C	SSA1	Stress-Seventy subfamily A	Hsp70 family ATPase SSA1|YG100	ATPase involved in protein folding and NLS-directed nuclear transport	S. cerevisiae	ORF
S000000005	YAL007C	ERP2	Emp24p/Erv25p Related Protein	""	Member of the p24 family involved in ER to Golgi transport	S. cerevisiae	ORF
S000000006	YAL008W	FUN14	Function Unknown Now	MCP3	Integral mitochondrial outer membrane (MOM) protein	S. cerevisiae	ORF
S000000007	YAL009W	SPO7	SPOrulation	Nem1-Spo7 phosphatase regulatory subunit SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme	S. cerevisiae	ORF
S000000008	YAL010C	MDM10	Mitochondrial Distribution and Morphology	FUN37	Subunit of both the ERMES and the SAM complex	S. cerevisiae	ORF
S000000009	YAL011W	SWC3	SWr Complex	SWC1	Protein of unknown function	S. cerevisiae	ORF
S000000010	YAL012W	CYS3	CYStathionine gamma-lyase	CYI1|cystathionine gamma-lyase CYS3|FUN35|STR1	Cystathionine gamma-lyase	S. cerevisiae	ORF
S000000011	YAL013W	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	FUN54|Rpd3L histone deacetylase complex subunit DEP1	Component of the Rpd3L histone deacetylase complex	S. cerevisiae	ORF
S000000012	YAL014C	SYN8	SYNtaxin	SLT2|syntaxin|UIP2	Endosomal SNARE related to mammalian syntaxin 8	S. cerevisiae	ORF
S000000013	YAL015C	NTG1	eNdonuclease Three-like Glycosylase	bifunctional N-glycosylase/AP lyase NTG1|FUN33|ogg2|SCR1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase	S. cerevisiae	ORF
S000000014	YAL016W	TPD3	tRNA Processing Deficient	FUN32|protein phosphatase 2A structural subunit TPD3	Regulatory subunit A of the heterotrimeric PP2A complex	S. cerevisiae	ORF
S000000015	YAL017W	PSK1	Pas domain-containing Serine/threonine protein Kinase	FUN31|serine/threonine protein kinase PSK1	PAS domain-containing serine/threonine protein kinase	S. cerevisiae	ORF
S000000016	YAL018C	LDS1	Lipid Droplets in Sporulation	""	Protein Involved in spore wall assembly	S. cerevisiae	ORF
S000000017	YAL019W	FUN30	Function Unknown Now	DNA-dependent ATPase FUN30	Snf2p family member with ATP-dependent chromatin remodeling activity	S. cerevisiae	ORF
S000000018	YAL020C	ATS1	Alpha Tubulin Suppressor	FUN28|KTI13	Protein required for modification of wobble nucleosides in tRNA	S. cerevisiae	ORF
S000000019	YAL021C	CCR4	Carbon Catabolite Repression	CCR4-NOT core exoribonuclease subunit CCR4|FUN27|NUT21	Component of the CCR4-NOT transcriptional complex	S. cerevisiae	ORF
S000000020	YAL022C	FUN26	Function Unknown Now	nucleoside transmembrane transporter FUN26	High affinity, broad selectivity, nucleoside/nucleobase transporter	S. cerevisiae	ORF
S000000021	YAL023C	PMT2	Protein O-MannosylTransferase	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25	Protein O-mannosyltransferase of the ER membrane	S. cerevisiae	ORF
S000000022	YAL024C	LTE1	Low Temperature Essential	mitotic regulator LTE1|MSI2	Protein similar to GDP/GTP exchange factors	S. cerevisiae	ORF
S000000023	YAL025C	MAK16	MAintenance of Killer	ribosome biosynthesis protein MAK16	Essential nuclear protein	S. cerevisiae	ORF
