acc	SGID
P32774	S000001541
P11938	S000005160
P06786	S000005032
P07248	S000002624
P39935	S000003394
P03069	S000000735
P32773	S000005720
P31109	S000000028
P40357	S000003241
P10961	S000003041
Q03768	S000002559
P05318	S000002239
P01094	S000004786
P32499	S000004327
P40316	S000002520
Q12287	S000003932
P23202	S000005173
P07342	S000004714
P53551	S000006048
P11632	S000006256
Q6Q547	S000007455
Q08826	S000005884
P09938	S000003563
P49723	S000003412
P06701	S000004434
Q00955	S000005299
P53954	S000004993
P45976	S000003853
P38634	S000004069
P08067	S000000750
P22943	S000001880
P20435	S000006391
P46670	S000006162
P38801	S000001123
P40422	S000001185
Q03337	S000002880
P00127	S000001929
P80428	S000003617
Q12406	S000006238
P50106	S000002563
Q04660	S000004652
P46984	S000003720
P39015	S000004140
P01097	S000002340
O94742	S000007235
P20676	S000005624
Q02629	S000001551
P14907	S000003577
P40477	S000001377
P40517	S000001325
P40019	S000000832
P22470	S000002550
P38293	S000000377
P22216	S000006074
P46669	S000005867
P34087	S000002812
P53874	S000005130
P39007	S000002990
P48439	S000005611
P36100	S000001511
P25638	S000000656
P53905	S000005091
P41695	S000003420
P36152	S000001779
P32639	S000000974
P53330	S000003507
P47093	S000003783
Q06406	S000002786
Q03071	S000005967
P36118	S000001730
P40161	S000005150
P33328	S000005854
P32867	S000006153
P39926	S000004795
P32917	S000002510
P53378	S000004202
P25344	S000000537
Q06810	S000006279
P04147	S000000967
Q04964	S000004523
P34233	S000001668
P19880	S000004466
P21374	S000003811
P47142	S000003863
Q12483	S000005923
Q06208	S000004445
P29539	S000000479
Q06696	S000004409
Q03834	S000002504
P14736	S000000964
P32628	S000000763
P07276	S000003490
P32776	S000002719
Q3E840	S000007587
Q06628	S000006389
Q07528	S000002271
P53632	S000005475
P25644	S000000673
P38968	S000002354
P47047	S000003586
Q07930	S000004006
Q02554	S000004853
P32504	S000003372
P41814	S000005006
P33322	S000004165
P33411	S000003238
P27472	S000004248
Q02199	S000003140
Q03281	S000002866
P04386	S000006169
P32337	S000004925
P47054	S000003576
P49687	S000003060
P46673	S000003803
P35729	S000001540
P36161	S000001790
P32566	S000003461
P21734	S000002584
P53136	S000003079
P32521	S000001445
Q02821	S000005133
P38862	S000001214
P02309	S000000213
P02309	S000004975
Q12306	S000002918
Q05471	S000002742
P53865	S000005169
O60200	S000007243
Q05776	S000004183
P36080	S000001565
P35201	S000001572
P11746	S000004646
Q12476	S000002334
Q12432	S000006227
Q12000	S000005617
P36106	S000001488
Q12102	S000004105
P46674	S000002566
Q05022	S000004842
Q01080	S000005192
P04050	S000002299
P10081	S000001767
P10081	S000003674
Q05080	S000004635
P32357	S000000170
P33334	S000001208
Q04049	S000002827
Q03653	S000004825
P25299	S000003012
P09950	S000002640
P06782	S000002885
P16892	S000000112
P0CY08	S000000635
P53927	S000005054
P53193	S000002986
P40344	S000005290
P47110	S000003804
P15436	S000002260
P53853	S000005190
Q02521	S000005674
P30771	S000004685
