Rhodotorula graminis
Saitoella complicata
Schizosaccharomyces pombe
Aspergillus niger
Neurospora crassa
Trichoderma reesei
Lipomyces starkeyi
Yarrowia lipolytica
Blastobotrys adeninivorans
Nadsonia fulvescens
Ascoidea rubescens
Pachysolen tannophilus
Komagataella phaffii
Kuraishia capsulata
Ogataea arabinofermentans
Ogataea parapolymorpha
Dekkera bruxellensis
Pichia membranifaciens
Pichia kudriavzevii
Babjeviella inositovora
Metschnikowia bicuspidata
Meyerozyma guilliermondii
Debaryomyces hansenii
Scheffersomyces stipitis
Spathaspora passalidarum
Wickerhamomyces anomalus
Cyberlindnera jadinii
Hanseniaspora valbyensis
Kluyveromyces lactis
Lachancea thermotolerans
Zygosaccharomyces rouxii
Saccharomyces cerevisiae
Vanderwaltozyma polyspora
